Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,SA,sex
-76.728,125.84,112.03,8.8788,80.559,113.56,258.56,145,185.37,409.3,310.63,655.63,345,228.32,0,0
-77.241,206.37,122.69,7.4102,66.911,110.91,270.91,160,292.6,521.48,245.91,554.04,308.13,232.01,0,0
-73.307,124.82,110.37,7.9931,74.654,109.65,280.65,171,156.88,390.27,308.65,640.65,332,236.53,0,1
-76.75,228.98,120.04,5.8869,50.36,94.36,249.36,155,240.39,428.33,210.36,507.36,297,189.68,0,1
-76.201,154.48,113.76,6.5457,49.33,87.781,258.78,171,332.66,556.19,216.78,516.78,300,226.29,0,1
-75.2,143.4,112.87,6.9636,63.239,98.239,260.24,162,181.17,405.04,272.24,595.24,323,226.4,0,1
-76.028,153.88,115.36,7.2711,58.762,93.762,250.76,157,413.47,655.62,215.76,512.77,297.01,245.57,0,1
-75.602,178.08,117.1,6.6501,46.378,88.378,258.38,170,116.38,347.71,334.38,667.38,333,234.12,0,1
-75.068,131.93,111.68,7.5217,60.892,94.892,257.89,163,123.34,348.3,302.89,619.89,317,226.83,0,1
-77.202,189.74,119.99,7.1336,79.641,115.64,256.64,141,217.78,440.88,253.64,568.64,315,225.68,0,0
-77.056,226.05,123.89,7.2136,79.353,114.35,249.35,135,270.81,509.8,282.35,627.67,345.32,244.39,0,1
-77.105,227.5,123.25,6.6103,75.149,112.15,258.15,146,157.48,411.37,356.15,709.15,353,259.62,0,1
-75.466,159.77,116.88,8.2419,88.241,128.24,291.24,163,178.47,399.81,258.24,554.24,296,223.04,0,1
-75.74,147.88,113.4,6.8832,55.662,92.662,262.81,170.15,277.99,513.35,222.81,507.81,285,237.24,0,0
-72.828,156.1,112.98,6.8731,56.078,101.08,289.08,188,104.77,331.83,303.08,617.08,314,228.69,0,1
-75.935,147.26,114.37,7.6635,73.119,105.12,256.12,151,303.73,559.04,278.12,624.12,346,261.29,0,1
-77.3,198.75,119.9,6.6178,63.45,104.45,254.75,150.3,310.82,516.76,179.75,431.75,252,206.98,0,0
-75.052,158.3,116.12,7.9237,63.523,99.523,272.52,173,151.54,381.93,295.52,609.52,314,232.63,0,0
-73.311,122.54,106.75,6.0222,38.529,80.529,280.53,200,132.4,378.79,256.53,534.53,278,247.32,0,0
-75.968,133.39,109.64,6.0984,42.598,83.598,249.6,166,97.866,314.06,298.6,619.6,321,217.79,0,1
-75.669,174.97,114.57,5.8721,33.918,79.918,254.92,175,93.041,300.38,264.92,551.92,287,208.09,0,0
-75.793,129.1,109.6,6.3233,61.089,96.089,260.09,164,208.03,442.58,291.09,639.09,348,239.02,0,0
-75.598,178.59,119.4,8.3184,78.869,111.87,261.32,149.45,185.12,393.15,236.32,522.32,286,209.44,0,1
-76.95,221.74,122.79,6.9238,63.916,102.92,254.92,152,160.82,385.5,330.92,680.92,350,229.37,0,0
-75.637,191.47,120.07,7.4062,77.154,117.15,280.15,163,121.88,382.45,345.15,678.15,333,263.73,0,1
-74.586,129.46,106.69,5.5224,41.97,75.97,254.97,179,265.42,517.96,225.97,525.97,300,254.81,0,0
-75.824,193.33,119.39,6.7448,54.806,110.81,289.92,179.11,154.61,368.23,246.81,520.92,274.11,214.56,0,1
-77.181,206.19,121.69,6.9181,72.222,124.22,275.22,151,125.09,335.06,227.22,471.22,244,210.43,0,0
-75.497,203.23,121.02,7.342,46.295,86.075,260.07,174,428.69,642.68,203.07,488.07,285,216.85,0,1
-75.76,216.97,120.2,6.3913,56.082,97.082,253.08,156,108.28,363.55,330.08,663.08,333,257.79,0,0
-75.643,134.76,109.19,5.8566,56.183,93.183,256.9,163.72,245.08,496.46,275.9,619.9,344,255.87,0,0
-76.344,133.27,111.75,7.2079,81.385,120.39,276.39,156,77.687,302.05,293.39,594.39,301,225.37,0,1
-74.715,141.85,112.58,7.0883,55.028,87.871,271.45,183.58,426.41,684.03,200.45,467.45,267,259.76,0,0
-75.944,144.29,112.31,6.6061,60.326,94.326,255.33,161,262.02,504.44,226.33,520.33,294,244.48,0,1
-76.408,149.28,111.99,6.0005,56.588,95.588,251.59,156,258.13,496.85,205.59,478.59,273,240.11,0,1
-76.924,132.97,112.2,7.4156,73.435,111.44,267.44,156,332.69,555.61,249.44,586.44,337,227.95,0,1
-76.692,179.42,118.36,7.0954,85.995,121.99,265.07,143.07,225.96,435.06,234.07,538.07,304,211.2,0,1
-76.637,144.1,114.72,8.1149,73.286,106.29,258.29,152,162.39,415.8,299.44,617.44,318,255.97,0,0
-77.248,201.68,119.02,6.0401,61.602,105.6,253.6,148,294.52,513.79,218.6,519.6,301,221.76,0,0
-76.806,202.5,121.08,6.9889,60.256,98.256,245.26,147,107.31,323.83,277.33,574.33,297,217.7,0,1
-76.59,205.15,117.91,6.019,35.923,76.505,245.5,169,426.4,635.08,179.5,447.5,268,210.67,0,1
-75.083,124.12,109.95,7.3952,73.842,109.84,274.84,165,142.64,368.9,297.84,626.84,329,228.8,0,1
-74.894,139.9,111.64,6.8751,62.993,94.993,248.99,154,94.401,304.43,268.99,568.99,300,211.02,0,0
-75.704,178.4,117.51,6.9257,64.455,106.45,265.45,159,160.81,368.11,232.45,509.45,277,208.31,0,1
-78.042,159.1,118.54,9.9593,81.637,111.64,250.64,139,350.6,573.75,202.64,478.88,276.24,225.18,0,0
-74.682,173.77,117.31,7.1806,65.356,106.36,283.36,177,108.44,343.34,319.36,639.36,320,236.89,0,1
-74.759,191.88,120.22,7.6741,57.313,96.313,267.31,171,94.673,313.93,278.31,555.54,277.22,220.04,0,1
-76.047,145.36,115.13,9.1116,62.285,92.285,257.28,165,117.86,340.79,256.28,511.28,255,223.46,0,1
-75.948,124.34,111.35,8.4041,86.607,123.61,278.61,155,229.81,448.68,199.61,450.61,251,219.66,0,1
-76.132,185.55,119.89,7.7864,67.262,109.26,273.26,164,171.37,370.16,265.26,577.26,312,200.84,0,1
-76.074,226.82,119.06,5.7398,24.035,79.45,251.45,172,114.87,321.43,289.45,610.45,321,208.3,0,0
-76.321,194.99,120.38,7.1404,57.754,95.754,252.75,157,91.81,321.14,296.75,595.75,299,230.45,0,0
-75.498,146.24,110.31,5.692,28.424,75.424,245.42,170,72.456,281.6,295.42,604.42,309,210.16,0,0
-76.389,157.05,114.14,6.3152,42.002,80.154,247.25,167.1,271.06,481.23,240.25,557.25,317,213.21,0,1
-75.801,142.6,111.52,6.3279,61.029,101.03,269.03,168,185.74,414.36,267.03,589.03,322,231.16,0,1
-76.83,183.96,116.93,6.0516,49.933,88.933,246.9,157.97,226.08,459.87,214.9,480.9,266,234.85,0,1
-76.089,162.86,117.05,7.6916,77.138,115.14,268.14,153,262.95,492.89,233.14,527.14,294,232.15,0,0
-74.92,152.48,111.57,6.1002,55.267,100.27,270.27,170,125.6,354.78,339.27,686.27,347,232.89,0,1
-76.538,209.96,121.88,7.022,50.658,94.658,249.66,155,165.26,364.81,262.66,568.89,306.23,201.36,0,0
-75.767,175.68,117.6,7.0501,78.814,110.81,254.81,144,94.504,317.4,340.81,681.05,340.24,225.48,0,1
-75.125,144.27,112.67,6.9917,56.094,98.094,278.44,180.34,208.71,430.03,277.44,608.44,331,224.71,0,0
-77.866,210.79,119.88,5.9256,67.621,110.62,248.62,138,190.63,395.27,223.62,511.62,288,205.96,0,1
-74.029,135.05,112.36,8.1602,69.149,101.15,259.15,158,55.567,263.27,387.15,723.15,336,209.85,0,0
-75.63,134.54,112.11,7.3612,80.337,120.34,277.22,156.88,180.66,401.67,254.22,556.22,302,222.85,0,1
-76.756,195.61,118.28,6.311,69.021,109.02,254.02,145,134.47,339.17,320.02,667.02,347,208.14,0,0
-76.458,217.91,120.06,5.9899,49.705,101.7,265.7,164,120.6,343.86,282.9,587.9,305,224.78,0,1
-74.438,158.14,111.43,5.9358,36.707,65.786,253.79,188,333.81,570.95,226.79,540.79,314,240.54,0,1
-74.697,122.55,109.57,7.18,85.901,118.9,276.9,158,156.54,377.57,284.9,615.9,331,223.71,0,0
-75.922,191.43,119.26,6.9204,67.246,104.25,256.25,152,222.53,485.33,304.25,645.25,341,267.58,0,0
-75.925,193.67,118.04,6.507,51.482,90.482,258.48,168,267.3,479.87,258.48,596.48,338,216.82,0,1
-77.616,159.86,116.79,7.4991,87.177,122.18,255.18,133,86.566,308.7,259.18,533.18,274,222.88,0,0
-76.486,243.22,127.85,8.3018,63.518,106.83,269.83,163,273.62,475.52,197.83,442.96,245.13,202.69,0,1
-77.172,244.61,126.67,7.3888,73.721,114.72,258.72,144,251.39,488.31,237.72,526.72,289,238.97,0,0
-75.679,159.65,116.46,7.728,65.531,99.531,260.53,161,335.34,574.16,206.53,476.53,270,240.56,0,0
-75.615,129.32,112.87,9.4951,92.693,124.69,281.69,157,215.6,455.36,289.69,623.69,334,243.71,0,1
-76.219,141.58,112.23,6.6665,69.568,105.57,253.57,148,91.108,306.51,277.57,580.57,303,216.49,0,1
-74.665,141.3,114.12,8.6019,68.824,100.82,258.82,158,197.39,419.32,220.82,475.82,255,222.72,0,1
-77.705,183.82,120.06,7.4113,84.386,119.39,256.39,137,273.41,513.64,238.39,542.39,304,242.93,0,0
-75.053,190.97,113.74,5.5144,39.962,82.962,257.96,175,161.7,375.46,259.96,580.28,320.32,215.79,0,0
-76.724,171.02,116.74,6.5896,51.935,85.713,245.71,160,332.5,571.74,212.71,494.71,282,241.34,0,1
-76.694,164.71,115.91,6.7278,67.375,105.37,254.37,149,144.12,359.95,220.37,477.37,257,216.48,0,1
-76.781,134.83,114.45,10.872,84.644,116.64,258.64,142,48.937,254.91,311.64,605.64,294,206.56,0,1
-76.688,159.49,115.81,7.2954,76.423,111.42,257.42,146,143.21,365.09,300.42,633.42,333,224.6,0,1
-73.639,161.9,115.77,7.3945,80.822,117.82,288.82,171,137.96,367.4,287.82,600.82,313,231.27,0,1
-76.69,152.42,113.76,6.5994,65.605,103.6,251.82,148.21,93.536,332.65,368.82,712.82,344,242.53,0,0
-76.999,156.23,114.02,6.2903,65.443,107.44,260.44,153,195.5,421.19,250.44,559.44,309,227.78,0,1
-75.118,125.97,111.52,8.6308,63.89,95.89,258.89,163,267,461.24,201.89,474.89,273,195.55,0,0
-75.734,136.35,112.49,7.7425,70.04,104.04,265.04,161,108.74,320.56,320.04,654.04,334,214.23,0,0
-75.008,181.1,116.93,6.6111,67.977,103.98,255.98,152,151.1,382.22,307.98,646.98,339,234.3,0,0
-73.793,161.65,114.24,6.7617,49.464,88.091,264.09,176,280.36,487.09,215.09,508.09,293,208.74,0,1
-76.27,179.74,117.87,6.8567,60.587,100.59,266.59,166,351.82,594.75,213.59,499.59,286,245.33,0,0
-74.949,132.72,111.22,7.1944,58.538,88.538,250.54,162,281.2,515.51,214.54,499.54,285,236.09,0,1
-71.715,125.64,108.79,7.2265,62.437,94.437,259.44,165,44.717,266.31,329.44,655.44,326,222.65,0,0
-75.169,130.35,109.51,6.3223,71.048,107.05,273.05,166,203.08,412.38,212.05,496.05,284,210.58,0,1
-75.462,140.45,110.85,6.3831,42.878,86.878,255.88,169,69.223,271.23,288.88,587.88,299,202.81,0,0
-76.365,155.46,116.43,8.3643,74.364,113.36,265.36,152,146.64,346.06,267.36,570.36,303,200.98,0,1
-76.072,152.99,114.04,6.8027,50.572,85.572,249.57,164,375.24,604.77,209.57,502.57,293,232.35,0,1
-76.7,223.2,120.42,5.9614,51.845,95.845,254.59,158.74,168.33,390.68,216.59,474.59,258,223.1,0,0
-75.934,130.91,110.51,6.6429,51.972,98.972,266.97,168,156.7,355.03,258.97,566.97,308,199.98,0,0
-76.845,193.87,118.91,6.4983,50.525,104.53,272.53,168,161.3,378.77,301.53,631.53,330,220.5,0,1
