Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,Gender,class
-76.064,159.76,112.13,5.6574,78.577,121.58,287.58,166,140.16,355.19,329.58,678.58,349,219.02,0,2
-76.404,155.92,112.15,5.9389,109.78,147.78,304.78,157,132.88,338.47,319.78,658.78,339,208.8,0,2
-78.38,221.14,113.93,4.8052,83.281,129.28,256.28,127,232.45,420.69,235.28,559.28,324,191.03,0,2
-75.087,169.97,115.79,6.7485,120.19,154.19,309.19,155,174.49,363.05,289.19,625.19,336,191.84,0,2
-74.847,189.96,106.9,4.7007,74.199,125.2,307.2,182,163.17,357.36,233.2,543.2,310,195.77,0,2
-75.381,153.6,114.07,6.8644,76.174,127.17,301.43,174.26,391.15,605.25,183.17,445.43,262.26,215.78,0,2
-76.534,152.04,109.06,5.2945,65.479,111.48,276.48,165,199.72,404.98,285.48,638.48,353,209.62,0,2
-76.088,168.21,114.11,6.0715,82.124,121.12,282.12,161,334.75,576.24,222.12,530.12,308,244.76,0,2
-77.121,160.74,113.65,5.8661,98.205,139.21,294.21,155,251.17,478.94,276.21,618.21,342,232.47,0,2
-76.559,220.04,109.73,4.4672,72.684,124.68,300.68,176,211.51,414.69,271.68,619.68,348,207.18,0,2
-74.068,158.02,110.37,5.7025,65.735,110.73,283.73,173,332.59,561.44,167.73,413.73,246,230.01,0,2
-77.352,210.79,118.83,5.9289,102.88,140.88,271.88,131,228.57,457.7,302.88,650.88,348,234.58,0,2
-76.563,230.58,117.2,5.4412,54.136,106.14,260.14,154,259.7,465.48,236.14,558.45,322.31,208.86,0,2
-75.937,201.15,109.9,4.8067,61.128,119.13,296.69,177.56,259.1,476.5,199.13,488.69,289.56,219.08,0,2
-75.725,193.61,109.13,4.9689,89.895,126.89,286.67,159.78,209.67,415.55,252.67,588.67,336,209.03,0,2
-75.422,171.07,108.28,4.952,74.617,121.62,292.62,171,171.43,392.77,282.62,621.62,339,224.52,0,2
-76.693,208.02,119.6,6.3685,98.364,141.36,303.36,162,288.27,479.96,199.36,480.88,281.51,193.38,0,2
-73.896,216.86,118.83,6.4507,91.583,136.58,307.58,171,432.37,655.82,187.58,457.58,270,225.67,0,2
-76.99,184.85,115.34,5.7965,93.467,128.47,272.47,144,278.27,511.89,240.47,560.83,320.37,237.02,0,2
-74.942,235.05,112.09,5.0341,66.702,113.7,301.02,187.32,314.73,560.88,254.02,593.02,339,251.16,0,2
-75.149,209.41,120.19,6.6505,98.924,137.92,300.92,163,104.24,305.37,275.92,576.92,301,202.38,0,2
-75.83,199.41,113.24,5.2998,97.113,133.11,303.11,170,183.16,375.26,273.11,613.11,340,195.34,0,2
-75.813,153.99,111.89,5.9542,61.817,109.82,277.82,168,161.33,383.61,272.82,593.88,321.06,224.57,0,2
-76.9,262.61,115.82,4.7876,59.707,114.71,265.71,151,180.55,394.07,225.71,520.71,295,214.98,0,2
-76.836,241.01,113.47,4.8193,60.011,120.01,289.39,169.38,342.2,566.49,176.01,442.39,266.38,225.87,0,2
-77.333,164.5,117.83,7.7648,103.41,142.41,287.41,145,329.82,523.59,202.41,487.41,285,195.89,0,2
-76.659,244.75,115.14,5.1181,61.748,115.75,289.75,174,405.82,637.58,204.75,505.75,301,235.15,0,2
-75.388,168.61,114.07,6.235,69.32,110.32,268.32,158,413.76,673.08,254.32,595.32,341,266.22,0,2
-73.553,148.36,108.93,5.8284,80.048,120.05,296.05,176,148.76,338.55,241.05,549.05,308,191.26,0,2
-77.207,162.26,115.28,6.7004,66.947,103.95,256.74,152.79,382.67,596.94,190.74,471.74,281,216.55,0,2
-74.27,196.9,118.65,6.6789,97.971,140.97,300.97,160,376.09,628.47,178.97,424.97,246,253.79,0,2
-76.117,143.16,111.77,6.4165,116.14,148.14,294.14,146,299.34,518.41,231.14,545.14,314,222.39,0,2
-75.482,156.85,112.51,6.0158,72.979,124.98,291.98,167,413.48,638,141.98,352.98,211,225.11,0,2
-76.963,160.59,113.54,6.1449,98.468,131.47,274.47,143,351.34,582.22,206.47,502.47,296,233.69,0,2
-75.144,184.73,110.35,5.264,67.852,112.85,276.85,164,190.62,369.53,190.85,462.85,272,179.74,0,2
-75.858,170.21,111.85,5.5068,67.168,117.17,299.17,182,341.31,565.78,217.17,528.17,311,227.79,0,2
-74.966,156.07,115.7,7.5267,101.32,139.32,309.74,170.42,335.52,554.27,214.74,511.74,297,221.44,0,2
-74.315,196.34,113.54,5.4956,77.254,119.25,301.25,182,188.08,398.05,252.25,574.25,322,212.34,0,2
-75.54,174.51,114.46,5.8641,88.587,131.59,293.59,162,152.95,365.14,247.59,542.59,295,213.58,0,2
-76.468,249.93,117.18,5.3022,72.25,117.25,280.25,163,305.51,541.35,229.25,544.25,315,239.15,0,2
-76.046,175.25,110.38,5.1097,67.092,118.09,298.09,180,242.92,442.22,263.09,608.09,345,203.56,0,2
-75.443,148.91,108.67,5.4267,61.062,101.06,255.06,154,153.84,356.74,237.06,545.06,308,204.47,0,2
-75.148,219.69,114.57,5.4598,88.786,125.79,297.79,172,218.36,446.8,306.79,662.79,356,234.11,0,2
-76.888,196.66,116.25,5.6166,83.796,135.8,300.8,165,366.12,606.89,154.8,378.8,224,241.58,0,2
-75.353,177.22,108.72,5.1624,78.466,121.47,297.33,175.87,199.95,405.47,236.47,554.33,317.87,207.77,0,2
-75.726,239.9,118.07,5.5331,77.582,126.58,291.58,165,279.14,501.42,228.58,535.58,307,225,0,2
-75.7,231.73,112.9,5.0155,70.325,113.33,271.33,158,239.03,439.01,174.33,432.33,258,200.87,0,2
-75.359,175.91,111.78,5.5049,54.12,108.12,277.12,169,264.68,490.21,158.12,381.12,223,226.06,0,2
-76.414,204.18,113.27,5.1998,66.207,126.21,303.21,177,342.84,540.97,181.21,456.21,275,199.82,0,2
-75.657,147,110.01,5.6584,80.069,122.07,290.07,168,294.68,515.67,230.07,550.07,320,224.35,0,2
-76.871,218.13,118.52,5.9119,100.6,138.6,292.6,154,333.41,551.31,253.6,588.92,335.32,223.12,0,2
-76.863,201.01,113.74,5.3342,84.502,126.5,287.5,161,278.42,482.71,215.5,522.5,307,206.81,0,2
-75.876,208.49,117.94,5.9196,69.93,113.93,256.93,143,268.65,486.03,208.93,493.93,285,219.17,0,2
-74.7,185.13,117.18,6.7331,90.01,134.01,305.01,171,496.58,723.01,195.01,478.01,283,229.65,0,2
-76.357,184.22,113.01,5.4246,80.226,116.23,265.23,149,110.32,337.56,287.23,612.23,325,229.06,0,2
-75.785,162.68,113.25,6.1271,92.018,135.02,309.02,174,421.49,647.77,188.02,465.02,277,228.68,0,2
-77.109,168.43,116.44,6.6441,110.62,146.62,284.62,138,224.98,437.28,242.62,551.62,309,214.73,0,2
-78.728,187.07,116.43,5.8826,104.37,150.37,299.37,149,508.64,710.7,173.37,437.37,264,204.38,0,2
