RMP,dV/dtmax,APA,APD20,APD40,APD50,APD90,APDtri,CTA,CTmax,CTD50,CTD90,CTDtri,CTD,Gender,class
-78.007,221.37,102.49,29.469,49.469,78.469,222.43,143.96,108.56,269.11,326.43,701.43,375,161.93,0,1
-77.774,251.75,105.14,22.891,46.912,79.912,234.91,155,94.99,249.14,325.91,693.91,368,155.29,0,1
-78.671,244.98,106.29,29.667,50.625,84.625,226.67,142.04,86.224,236.25,329.67,695.67,366,151.02,0,1
-77.453,225.62,101.7,23.368,45.541,78.541,234.54,156,102.52,245.34,309.54,675.54,366,143.74,0,1
-77.73,237.13,105.15,23.567,48.913,84.913,235,150.09,80.896,228.33,341,708,367,148.37,0,1
-78.807,270.36,108.11,30.275,52.275,85.275,221.28,136,95.184,245.21,336.28,711.28,375,151.18,0,1
-77.864,277.23,107.59,24.589,49.209,84.209,230.21,146,108.93,262.5,315.21,683.21,368,154.79,0,1
-78.403,246.73,106.03,23.088,47.269,78.269,209.38,131.11,87.531,249.6,337.66,707.66,370,163.17,0,1
-78.04,240.55,103.14,26.919,47.883,80.883,233.88,153,131.91,283.94,294.88,661.88,367,153.28,0,1
-78.491,259.36,108.12,28.546,49.501,82.501,217.5,135,108.48,255.05,295.5,653.5,358,147.39,0,1
-78.201,238.46,104.24,22.323,45.45,78.45,225.65,147.2,88.515,237.07,311.65,671.65,360,149.37,0,1
-77.667,223.73,102.8,21.816,46.996,80.996,231,150,70.72,219.35,360,732,372,149.54,0,1
-78.206,240.44,104.51,23.592,46.012,78.012,222.01,144,100.06,256.17,309.01,672.01,363,156.93,0,1
-78.612,239.2,105.38,26.411,48.982,80.982,216.69,135.71,82.333,227.14,309.69,665.69,356,145.45,0,1
-78.404,265.58,106.54,23.128,46.991,78.991,213.22,134.23,90.847,241.81,335.22,711.22,376,152.1,0,1
-78.049,263.51,106.83,21.772,45.43,78.43,227.7,149.27,96.762,248.55,323.7,690.7,367,152.94,0,1
-77.948,232.3,105.06,29.588,50.194,82.194,231.75,149.55,96.238,250.13,340.75,717.75,377,155.07,0,1
-78.548,241.79,105.85,30.463,51.44,82.44,217.02,134.59,102.21,262.44,332.91,708.91,376,161.51,0,1
-78.534,246.46,105.35,25.442,47.482,79.482,215.48,136,106.99,261.74,321.48,692.48,371,156.09,0,1
-78.515,260.64,105.74,22.73,47.887,81.887,223.89,142,91.166,245.56,355.89,733.89,378,155.74,0,1
-77.576,238.93,103.23,27.689,48.048,80.048,233.7,153.65,147.08,304.82,294.7,665.7,371,159.13,0,1
-79.257,237.97,104.58,25.383,46.846,80.846,210.85,130,112.02,259.64,308.85,678.85,370,148.71,0,1
-78.275,239.37,104.38,28.439,47.334,78.334,228.33,150,133.54,298.68,290.33,649.33,359,166.13,0,1
-77.425,235.93,103.71,24.805,45.761,79.761,239.76,160,116.01,264.51,298.76,661.76,363,149.6,0,1
-78.251,249.93,105.61,25.394,46.771,78.771,222.77,144,106.88,259.97,311.77,680.77,369,154.09,0,1
-77.747,246.79,105.12,30.291,55.859,90.859,233.86,143,115.35,274.59,332.86,709.86,377,160.59,0,1
-77.502,242.32,103.02,17.449,43.207,78.207,237.21,159,76.589,220.94,329.21,694.21,365,145.11,0,1
-77.971,220.06,102.26,22.279,46.663,80.663,230.66,150,88.373,242.27,343.66,712.66,369,155.13,0,1
-78.387,225.22,102.58,26.603,46.52,79.52,227.52,148,112.29,256.9,315.52,690.52,375,145.85,0,1
-78.511,253,106.17,18.427,45.229,79.229,212.23,133,80.555,234.02,344.23,711.23,367,154.53,0,1
-79.097,223.39,103.2,26.828,48.64,80.64,205.44,124.8,71.271,218.6,334.44,701.44,367,148.12,0,1
-77.26,240.23,103.35,20.565,45.445,78.445,233,154.55,99.038,255.76,314,680,366,157.66,0,1
-78.92,236.9,104.3,24.755,46.762,78.762,214.76,136,94.512,241.88,313.76,678.76,365,148.3,0,1
-78.161,230.48,103.96,24.672,46.571,79.571,223.57,144,94.841,240.67,310.57,674.57,364,146.73,0,1
-78.044,229.53,103.97,25.648,49.002,81.002,222.99,141.99,76.47,226.32,342.99,712.99,370,150.74,0,1
-78.429,263.03,107.26,32.598,54.926,89.926,232.93,143,134.79,296.11,291.93,653.93,362,162.52,0,1
-78.143,232.91,103.08,27.401,47.943,79.943,231.86,151.92,113.4,262.53,285.86,640.86,355,149.98,0,1
-78.077,260.55,106.77,23.259,47.553,80.553,229.55,149,97.121,256.55,348.55,721.55,373,160.69,0,1
-78.935,245.86,104.57,26.566,48.981,81.981,213.98,132,126.16,292.09,317.98,694.98,377,167.47,0,1
-78.636,254.22,105.31,24.567,46.42,79.42,220.42,141,95.009,238.68,318.42,688.42,370,144.57,0,1
-77.627,234.13,104.28,25.479,48.564,83.564,235.56,152,88.887,230.71,314.56,676.56,362,142.64,0,1
-78.832,239.39,104.98,23.632,45.924,78.924,210.92,132,107.08,258.07,314.92,684.92,370,152.05,0,1
-77.703,240.2,104.58,23.364,45.391,79.391,228.42,149.03,107.71,257.3,318.42,686.42,368,150.84,0,1
-77.752,242.46,103.6,21.682,45.541,80.541,229.61,149.07,94.188,241.7,314.61,677.61,363,148.5,0,1
-77.988,235.42,104.23,26.459,49.017,81.017,230.36,149.34,90.163,252.14,344.36,714.36,370,162.93,0,1
-78.034,260.16,106.15,22.574,48.084,83.084,229.12,146.04,103.04,258.58,328.12,696.12,368,156.71,0,1
-78.488,268.4,106.13,21.735,46.198,81.198,219.2,138,106.92,256.6,303.2,664.2,361,150.57,0,1
-77.646,241.82,104.93,27.797,48.381,81.381,234.38,153,114.09,264.25,316.38,685.38,369,151.35,0,1
-78.285,278.03,106.55,22.854,47.17,82.17,226.17,144,111.53,260.27,303.17,668.17,365,149.74,0,1
-78.248,256.64,106.62,25.257,48.837,82.837,218.84,136,110.67,261.95,297.84,655.84,358,152.25,0,1
-77.726,234.78,102.94,23.302,46.211,79.211,233.21,154,109.05,263.56,316.21,687.21,371,155.65,0,1
-78.148,231.07,103.56,25.24,46.045,80.045,231.04,151,96.114,238.57,312.04,676.04,364,143.4,0,1
-78.81,266.12,108.22,24.965,46.557,79.557,214.41,134.85,104.12,255.11,320.41,690.41,370,152.02,0,1
-78.764,237.85,104.64,31.62,52.432,85.432,216.83,131.4,125.73,275.79,289.83,651.83,362,151.16,0,1
-78.254,220.62,102.97,26.233,48.096,78.096,216.1,138,78.073,227.88,341.1,710.1,369,150.77,0,1
-78.775,247.47,105.36,25.175,48.24,80.24,215.11,134.87,86.743,237.14,318.11,680.11,362,151.33,0,1
-77.516,224.76,102.8,29.011,48.915,81.915,237.92,156,99.658,252.87,301.9,661.9,360,154.07,0,1
-77.91,237.98,104.39,18.865,45.317,79.317,224.32,145,80.619,229.47,337.32,703.32,366,149.83,0,1
-77.751,249.92,105.66,25.939,47.721,82.721,235.72,153,123.6,279.04,301.72,665.72,364,156.53,0,1
-77.79,266.77,105.01,14.782,42.469,80.034,235.03,155,84.379,230.38,298.03,644.03,346,146.63,0,1
-78.186,245.58,104.34,28.379,48.379,80.379,224.38,144,126.56,286.82,288.38,649.38,361,161.31,0,1
-78.67,222.06,103.27,29.735,48.628,81.628,224.57,142.94,112.91,263.25,321.57,699.57,378,151.51,0,1
-77.662,277.03,108.31,18.307,45.847,80.847,222.27,141.42,71.552,217.31,348.27,714.27,366,146.61,0,1
-78.954,244.52,105.35,34.244,56.244,88.244,216.24,128,102.67,253.21,315.24,688.24,373,151.73,0,1
-77.64,238.1,102.83,20.985,46.843,80.843,235.84,155,79.634,225.4,360.84,735.84,375,146.92,0,1
-78.302,254.83,104.93,21.24,47.673,86.673,236.67,150,96.842,232.49,287.67,634.67,347,136.34,0,1
-78.38,226.96,103.88,35.803,59.803,94.803,238.8,144,106.41,252.95,324.8,700.8,376,147.81,0,1
-78.275,237.8,104.96,26.374,49.055,83.055,228.3,145.24,108.51,262.29,330.3,706.3,376,155.21,0,1
-78.496,245.34,104.62,21.157,43.782,78.782,221.78,143,100.64,247.64,309.78,674.78,365,147.94,0,1
-77.288,243.48,105.82,26.022,46.522,79.522,236.65,157.13,116.71,273.59,311.65,674.65,363,158.01,0,1
-78.58,250.17,105.08,25.035,45.843,79.843,222.84,143,120.94,272.47,304.84,676.84,372,152.66,0,1
-78.765,269.83,107.24,28.907,48.907,80.907,218.95,138.04,110.74,263.45,330.95,708.95,378,154.09,0,1
-77.4,258.83,106.67,19.985,45.264,80.264,237.26,157,87.246,243.63,348.26,716.26,368,157.5,0,1
-78.938,247.02,106.06,25.066,48.391,80.391,210.53,130.13,107.19,265.07,322.53,692.53,370,159.11,0,1
-78.013,227.49,103.37,29.826,50.826,84.826,235.83,151,95.495,245.97,336.83,708.83,372,151.58,0,1
